Lat,Long,Vp,Vs,Rho
-89.0,37.0,6.630520000000001,3.78612,2805.96
-89.0,38.0,6.63582,3.7891500000000002,2808.2
-89.0,39.0,6.641109999999999,3.79217,2810.44
-89.0,40.0,6.6464099999999995,3.7952,2812.68
-89.0,41.0,6.6517100000000005,3.7982199999999997,2814.93
-89.0,42.0,6.657,3.80125,2817.17
-89.0,43.0,6.6623,3.80427,2819.41
-89.0,44.0,6.778239999999999,3.8704699999999996,2868.47
-89.0,45.0,6.7983199999999995,3.88194,2876.97
-89.0,46.0,6.8184,3.89341,2885.47
-89.0,47.0,6.83849,3.90487,2893.97
-89.0,48.0,6.62796,3.7846599999999997,2804.88
-89.0,49.0,6.62796,3.7846599999999997,2804.88
-89.0,50.0,6.62796,3.7846599999999997,2804.88
-89.0,51.0,6.62796,3.7846599999999997,2804.88
-89.0,52.0,6.62796,3.7846599999999997,2804.88
-89.0,53.0,6.62796,3.7846599999999997,2804.88
-89.0,54.0,6.62796,3.7846599999999997,2804.88
-89.0,55.0,6.62796,3.7846599999999997,2804.88
-89.0,56.0,6.62796,3.7846599999999997,2804.88
-89.0,57.0,6.62796,3.7846599999999997,2804.88
-89.0,58.0,6.62796,3.7846599999999997,2804.88
-89.0,59.0,6.62796,3.7846599999999997,2804.88
-89.0,60.0,6.62796,3.7846599999999997,2804.88
-89.0,61.0,6.62796,3.7846599999999997,2804.88
-89.0,62.0,6.62796,3.7846599999999997,2804.88
-89.0,63.0,6.62796,3.7846599999999997,2804.88
-89.0,64.0,6.62796,3.7846599999999997,2804.88
-89.0,65.0,6.62796,3.7846599999999997,2804.88
-89.0,66.0,6.62796,3.7846599999999997,2804.88
-89.0,67.0,6.62796,3.7846599999999997,2804.88
-89.0,68.0,6.62796,3.7846599999999997,2804.88
-89.0,69.0,6.62796,3.7846599999999997,2804.88
-89.0,70.0,6.62796,3.7846599999999997,2804.88
-89.0,71.0,6.62796,3.7846599999999997,2804.88
-89.0,72.0,6.62796,3.7846599999999997,2804.88
-89.0,73.0,6.62796,3.7846599999999997,2804.88
-89.0,74.0,6.62796,3.7846599999999997,2804.88
-89.0,75.0,6.62796,3.7846599999999997,2804.88
-89.0,76.0,6.62796,3.7846599999999997,2804.88
-89.0,77.0,6.62796,3.7846599999999997,2804.88
-89.0,78.0,6.62796,3.7846599999999997,2804.88
-89.0,79.0,6.62796,3.7846599999999997,2804.88
-89.0,80.0,6.62796,3.7846599999999997,2804.88
-89.0,81.0,6.62796,3.7846599999999997,2804.88
-89.0,82.0,6.62796,3.7846599999999997,2804.88
-89.0,83.0,6.62796,3.7846599999999997,2804.88
-89.0,84.0,6.62796,3.7846599999999997,2804.88
-89.0,85.0,6.62796,3.7846599999999997,2804.88
-89.0,86.0,6.62796,3.7846599999999997,2804.88
-89.0,87.0,6.62796,3.7846599999999997,2804.88
-89.0,88.0,6.62796,3.7846599999999997,2804.88
-89.0,89.0,6.62796,3.7846599999999997,2804.88
-89.0,90.0,6.62796,3.7846599999999997,2804.88
-89.0,91.0,6.62796,3.7846599999999997,2804.88
-89.0,92.0,6.62796,3.7846599999999997,2804.88
-89.0,93.0,6.62796,3.7846599999999997,2804.88
-89.0,94.0,6.62796,3.7846599999999997,2804.88
-89.0,95.0,6.62796,3.7846599999999997,2804.88
-89.0,96.0,6.62796,3.7846599999999997,2804.88
-89.0,97.0,6.65612,3.80074,2816.79
-89.0,98.0,6.65343,3.79921,2815.65
-89.0,99.0,6.65074,3.79767,2814.52
-89.0,100.0,6.64806,3.79614,2813.38
-89.0,101.0,6.63157,3.78672,2806.4
-89.0,102.0,6.63101,3.7864,2806.17
-89.0,103.0,6.63046,3.78609,2805.93
-89.0,104.0,6.629899999999999,3.78577,2805.7
-89.0,105.0,6.62934,3.78545,2805.46
-89.0,106.0,6.62879,3.78513,2805.23
-89.0,107.0,6.628229999999999,3.7848200000000003,2804.99
-89.0,108.0,6.62767,3.7845,2804.75
-89.0,109.0,6.633979999999999,3.7881,2807.42
-89.0,110.0,6.64029,3.7916999999999996,2810.09
-89.0,111.0,6.64659,3.7953,2812.76
-89.0,112.0,6.6529,3.7989,2815.43
-89.0,113.0,6.65921,3.8025,2818.1
-89.0,114.0,6.66551,3.8061,2820.77
-89.0,115.0,6.671819999999999,3.8097,2823.44
-89.0,116.0,6.51346,3.7192800000000004,2756.42
-89.0,117.0,6.49777,3.7103200000000003,2749.78
-89.0,118.0,6.482069999999999,3.70136,2743.14
-89.0,119.0,6.4663699999999995,3.69239,2736.49
-89.0,120.0,6.60031,3.7588000000000004,2792.35
-89.0,121.0,6.59765,3.7564,2791.15
-89.0,122.0,6.59498,3.754,2789.95
-89.0,123.0,6.59231,3.7516,2788.75
-89.0,124.0,6.58965,3.7491999999999996,2787.55
-89.0,125.0,6.58698,3.7468000000000004,2786.35
-89.0,126.0,6.58431,3.7444,2785.15
-89.0,127.0,6.58165,3.742,2783.95
-89.0,128.0,6.57898,3.7396,2782.75
-89.0,129.0,6.57631,3.7371999999999996,2781.55
-89.0,130.0,6.57365,3.7348000000000003,2780.35
-89.0,131.0,6.57098,3.7324,2779.15
-89.0,132.0,6.56831,3.73,2777.95
-89.0,133.0,6.56565,3.7276,2776.75
-89.0,134.0,6.56298,3.7251999999999996,2775.55
-89.0,135.0,6.56031,3.7228000000000003,2774.35
-89.0,136.0,6.55765,3.7204,2773.15
-89.0,137.0,6.55498,3.718,2771.95
-89.0,138.0,6.55231,3.7156,2770.75
-89.0,139.0,6.54965,3.7131999999999996,2769.55
-89.0,140.0,6.54698,3.7108000000000003,2768.35
-89.0,141.0,6.54431,3.7084,2767.15
-89.0,142.0,6.54165,3.706,2765.95
-89.0,143.0,6.53898,3.7036,2764.75
-89.0,144.0,6.53631,3.7011999999999996,2763.55
-89.0,145.0,6.53365,3.6988000000000003,2762.35
-89.0,146.0,6.53098,3.6964,2761.15
-89.0,147.0,6.52831,3.694,2759.95
-89.0,148.0,6.52565,3.6915999999999998,2758.75
-89.0,149.0,6.52298,3.6892,2757.55
-89.0,150.0,6.52031,3.6868000000000003,2756.35
-89.0,151.0,6.51765,3.6844,2755.15
-89.0,152.0,6.5149799999999995,3.682,2753.95
-89.0,153.0,6.51231,3.6795999999999998,2752.75
-89.0,154.0,6.50965,3.6772,2751.55
-89.0,155.0,6.5069799999999995,3.6748000000000003,2750.35
-89.0,156.0,6.50431,3.6724,2749.15
-89.0,157.0,6.50165,3.67,2747.95
-89.0,158.0,6.4989799999999995,3.6675999999999997,2746.75
-89.0,159.0,6.49631,3.6652,2745.55
-89.0,160.0,6.49365,3.6628000000000003,2744.35
-89.0,161.0,6.4909799999999995,3.6604,2743.15
-89.0,162.0,6.48831,3.658,2741.95
-89.0,163.0,6.48565,3.6555999999999997,2740.75
-89.0,164.0,6.4829799999999995,3.6532,2739.55
-89.0,165.0,6.48031,3.6508000000000003,2738.35
-89.0,166.0,6.47765,3.6484,2737.15
-89.0,167.0,6.4749799999999995,3.646,2735.95
-89.0,168.0,6.47231,3.6435999999999997,2734.75
-89.0,169.0,6.4981800000000005,3.65557,2745.48
-89.0,170.0,6.49279,3.6518,2743.14
-89.0,171.0,6.48741,3.6480300000000003,2740.8
-89.0,172.0,6.48202,3.64426,2738.46
-89.0,173.0,6.53341,3.68008,2760.74
-89.0,174.0,6.51926,3.6702,2754.61
-89.0,175.0,6.505109999999999,3.66032,2748.47
-89.0,176.0,6.49097,3.6504499999999998,2742.34
-89.0,177.0,6.47682,3.6405700000000003,2736.21
-89.0,178.0,6.46267,3.63069,2730.07
-89.0,179.0,6.44853,3.62081,2723.94
-88.0,-180.0,9.94426,5.58066,4200.34
-88.0,-179.0,7.17953,4.09728,3025.12
-88.0,-178.0,7.17821,4.09635,3024.58
-88.0,-177.0,7.17689,4.09541,3024.04
-88.0,-176.0,7.175560000000001,4.09448,3023.51
-88.0,-175.0,7.17424,4.0935500000000005,3022.97
-88.0,-174.0,7.17292,4.09262,3022.43
-88.0,-173.0,6.86312,3.8825700000000003,2895.52
-88.0,-172.0,6.86271,3.88226,2895.35
-88.0,-171.0,6.86229,3.88194,2895.19
-88.0,-170.0,6.86187,3.88162,2895.02
-88.0,-169.0,6.86145,3.8813,2894.85
-88.0,-168.0,6.86104,3.88098,2894.69
-88.0,-167.0,6.86062,3.8806599999999998,2894.52
-88.0,-166.0,6.8602,3.8803400000000003,2894.35
-88.0,-165.0,6.85978,3.88003,2894.18
-88.0,-164.0,6.85937,3.87971,2894.02
-88.0,-163.0,6.85895,3.87939,2893.85
-88.0,-162.0,6.85853,3.87907,2893.68
-88.0,-161.0,6.85811,3.87875,2893.51
-88.0,-160.0,6.8576999999999995,3.87843,2893.35
-88.0,-159.0,6.857279999999999,3.87811,2893.18
-88.0,-158.0,6.856859999999999,3.8778,2893.01
-88.0,-157.0,6.856439999999999,3.87748,2892.85
-88.0,-156.0,6.85603,3.87716,2892.68
-88.0,-155.0,6.8556099999999995,3.87684,2892.51
